Kommunenr;Kommunenavn;Antall
3001;Halden;31444
3002;Moss;50290
3003;Sarpsborg;58182
3004;Fredrikstad;83892
3005;Drammen;102273
3006;Kongsberg;27879
3007;Ringerike;31011
3011;Hvaler;4741
3012;Aremark;1315
3013;Marker;3578
3014;Indre Østfold;45608
3015;Skiptvet;3846
3016;Rakkestad;8312
3017;Råde;7633
3018;Våler (Viken);5913
3019;Vestby;18699
3020;Nordre Follo;61032
3021;Ås;20780
3022;Frogn;16084
3023;Nesodden;19939
3024;Bærum;128982
3025;Asker;96088
3026;Aurskog-Høland;17754
3027;Rælingen;19024
3028;Enebakk;11249
3029;Lørenskog;44693
3030;Lillestrøm;89095
3031;Nittedal;24947
3032;Gjerdrum;6989
3033;Ullensaker;41565
3034;Nes;23898
3035;Eidsvoll;26716
3036;Nannestad;15074
3037;Hurdal;2905
3038;Hole;6859
3039;Flå;1057
3040;Nesbyen;3273
3041;Gol;4667
3042;Hemsedal;2611
3043;Ål;4650
3044;Hol;4504
3045;Sigdal;3492
3046;Krødsherad;2189
3047;Modum;14273
3048;Øvre Eiker;20044
3049;Lier;27584
3050;Flesberg;2720
3051;Rollag;1370
3052;Nore og Uvdal;2455
3053;Jevnaker;6908
3054;Lunner;9144
301;Oslo kommune;699827
3401;Kongsvinger;17949
3403;Hamar;31999
3405;Lillehammer;28425
3407;Gjøvik;30267
3411;Ringsaker;35073
3412;Løten;7715
3413;Stange;21156
3414;Nord-Odal;5016
3415;Sør-Odal;7978
3416;Eidskog;6032
3417;Grue;4548
3418;Åsnes;7211
3419;Våler (Innlandet);3597
3420;Elverum;21435
3421;Trysil;6603
3422;Åmot;4195
3423;Stor-Elvdal;2318
3424;Rendalen;1722
3425;Engerdal;1253
3426;Tolga;1551
3427;Tynset;5581
3428;Alvdal;2445
3429;Folldal;1530
3430;Os;1855
3431;Dovre;2498
3432;Lesja;1986
3433;Skjåk;2151
3434;Lom;2211
3435;Vågå;3591
3436;Nord-Fron;5628
3437;Sel;5531
3438;Sør-Fron;3064
3439;Ringebu;4385
3440;Øyer;5082
3441;Gausdal;6079
3442;Østre Toten;14827
3443;Vestre Toten;13572
3446;Gran;13633
3447;Søndre Land;5535
3448;Nordre Land;6577
3449;Sør-Aurdal;2889
3450;Etnedal;1256
3451;Nord-Aurdal;6354
3452;Vestre Slidre;2111
3453;Øystre Slidre;3252
3454;Vang;1587
3801;Horten;27502
3802;Holmestrand;25681
3803;Tønsberg;57794
3804;Sandefjord;64943
3805;Larvik;47777
3806;Porsgrunn;36624
3807;Skien;55513
3808;Notodden;13029
3811;Færder;27165
3812;Siljan;2349
3813;Bamble;14056
3814;Kragerø;10351
3815;Drangedal;4093
3816;Nome;6494
3817;Midt-Telemark;10539
3818;Tinn;5512
3819;Hjartdal;1562
3820;Seljord;2889
3821;Kviteseid;2452
3822;Nissedal;1414
3823;Fyresdal;1198
3824;Tokke;2140
3825;Vinje;3755
4201;Risør;6735
4202;Grimstad;24017
4203;Arendal;45509
4204;Kristiansand;113737
4205;Lindesnes;23147
4206;Farsund;9622
4207;Flekkefjord;9048
4211;Gjerstad;2427
4212;Vegårshei;2131
4213;Tvedestrand;6115
4214;Froland;6098
4215;Lillesand;11279
4216;Birkenes;5342
4217;Åmli;1801
4218;Iveland;1323
4219;Evje og Hornnes;3653
4220;Bygland;1134
4221;Valle;1169
4222;Bykle;935
4223;Vennesla;15123
4224;Åseral;912
4225;Lyngdal;10480
4226;Hægebostad;1704
4227;Kvinesdal;5883
4228;Sirdal;1810
1101;Eigersund;14860
1103;Stavanger;144699
1106;Haugesund;37444
1108;Sandnes;81305
1111;Sokndal;3281
1112;Lund;3178
1114;Bjerkreim;2789
1119;Hå;19296
1120;Klepp;20163
1121;Time;19353
1122;Gjesdal;12131
1124;Sola;27568
1127;Randaberg;11454
1130;Strand;13268
1133;Hjelmeland;2534
1134;Suldal;3784
1135;Sauda;4525
1144;Kvitsøy;523
1145;Bokn;855
1146;Tysvær;11283
1149;Karmøy;42541
1151;Utsira;188
1160;Vindafjord;8775
4601;Bergen;286930
4602;Kinn;17131
4611;Etne;4043
4612;Sveio;5775
4613;Bømlo;12061
4614;Stord;18919
4615;Fitjar;3117
4616;Tysnes;2883
4617;Kvinnherad;13017
4618;Ullensvang;10881
4619;Eidfjord;937
4620;Ulvik;1051
4621;Voss;15875
4622;Kvam;8497
4623;Samnanger;2501
4624;Bjørnafjorden;25213
4625;Austevoll;5283
4626;Øygarden;39032
4627;Askøy;29816
4628;Vaksdal;3867
4629;Modalen;378
4630;Osterøy;8131
4631;Alver;29593
4632;Austrheim;2889
4633;Fedje;502
4634;Masfjorden;1629
4635;Gulen;2230
4636;Solund;768
4637;Hyllestad;1290
4638;Høyanger;3965
4639;Vik;2560
4640;Sogndal;12097
4641;Aurland;1766
4642;Lærdal;2117
4643;Årdal;5204
4644;Luster;5246
4645;Askvoll;2951
4646;Fjaler;2901
4647;Sunnfjord;22116
4648;Bremanger;3521
4649;Stad;9527
4650;Gloppen;5875
4651;Stryn;7207
1505;Kristiansund;24013
1506;Molde;32002
1507;Ålesund;67114
1511;Vanylven;3045
1514;Sande (Møre og Romsdal);2422
1515;Herøy (Møre og Romsdal);8765
1516;Ulstein;8557
1517;Hareid;5126
1520;Ørsta;10833
1525;Stranda;4467
1528;Sykkylven;7558
1531;Sula;9547
1532;Giske;8597
1535;Vestnes;6936
1539;Rauma;7019
1547;Aukra;3518
1554;Averøy;5828
1557;Gjemnes;2669
1560;Tingvoll;2960
1563;Sunndal;6932
1566;Surnadal;5849
1573;Smøla;2120
1576;Aure;3384
1577;Volda;10809
1578;Fjord;2491
1579;Hustadvika;13287
5001;Trondheim;210496
5006;Steinkjer;24004
5007;Namsos;15001
5014;Frøya;5265
5020;Osen;904
5021;Oppdal;7066
5022;Rennebu;2443
5025;Røros;5572
5026;Holtålen;1953
5027;Midtre Gauldal;6120
5028;Melhus;17123
5029;Skaun;8360
5031;Malvik;14425
5032;Selbu;4090
5033;Tydal;750
5034;Meråker;2399
5035;Stjørdal;24287
5036;Frosta;2608
5037;Levanger;20171
5038;Verdal;14955
5041;Snåase - Snåsa;2033
5042;Lierne;1309
5043;Raarvihke - Røyrvik;441
5044;Namsskogan;818
5045;Grong;2287
5046;Høylandet;1193
5047;Overhalla;3817
5049;Flatanger;1101
5052;Leka;570
5053;Inderøy;6794
5054;Indre Fosen;9899
5055;Heim;5884
5056;Hitra;5156
5057;Ørland;10371
5058;Åfjord;4252
5059;Orkland;18502
5060;Nærøysund;9732
5061;Rindal;1980
1804;Bodø;52803
1806;Narvik;21530
1811;Bindal;1406
1812;Sømna;1981
1813;Brønnøy;7777
1815;Vega;1175
1816;Vevelstad;462
1818;Herøy (Nordland);1825
1820;Alstahaug;7333
1822;Leirfjord;2257
1824;Vefsn;13233
1825;Grane;1461
1826;Hattfjelldal;1273
1827;Dønna;1369
1828;Nesna;1698
1832;Hemnes;4420
1833;Rana;26092
1834;Lurøy;1869
1835;Træna;450
1836;Rødøy;1153
1837;Meløy;6214
1838;Gildeskål;1894
1839;Beiarn;1012
1840;Saltdal;4617
1841;Fauske - Fuossko;9603
1845;Sørfold;1869
1848;Steigen;2591
1851;Lødingen;1976
1853;Evenes - Evenássi;1334
1856;Røst;469
1857;Værøy;678
1859;Flakstad;1216
1860;Vestvågøy;11566
1865;Vågan;9724
1866;Hadsel;8107
1867;Bø (Nordland);2565
1868;Øksnes;4458
1870;Sortland - Suortá;10468
1871;Andøy;4572
1874;Moskenes;982
1875;Hamarøy;2708
5401;Tromsø;77544
5402;Harstad;24804
5403;Alta;21144
5404;Vardø;1897
5405;Vadsø;5568
5406;Hammerfest;11274
5411;Kvæfjord;2789
5412;Tjeldsund;4201
5413;Ibestad;1289
5414;Gratangen;1070
5415;Loabák - Lavangen;970
5416;Bardu;3993
5417;Salangen;2087
5418;Målselv;6599
5419;Sørreisa;3414
5420;Dyrøy;1068
5421;Senja;14738
5422;Balsfjord;5576
5423;Karlsøy;2179
5424;Lyngen;2729
5425;Storfjord - Omasvuotna - Omasvuono;1836
5426;Gáivuotna - Kåfjord - Kaivuono;2012
5427;Skjervøy;2804
