Kommunenr,Kommunenavn,Fylkenr,Fylkenavn,RHF,HF,Stråleterapienhet,Befolkning2020
3020,Nordre Follo,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,61032
3021,Ås,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,20780
3022,Frogn,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,16084
3023,Nesodden,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,19939
3026,Aurskog-Høland,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,17754
3027,Rælingen,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,19024
3028,Enebakk,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,11249
3029,Lørenskog,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,44693
3030,Lillestrøm,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,89095
3031,Nittedal,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,24947
3032,Gjerdrum,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,6989
3033,Ullensaker,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,41565
3034,Nes,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,23898
3035,Eidsvoll,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,26716
3036,Nannestad,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,15074
3037,Hurdal,30,Viken,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,2905
30110,Grorud,3,Oslo,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,27707
30111,Stovner,3,Oslo,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,33316
30112,Alna,3,Oslo,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,49801
3401,Kongsvinger,34,Innlandet,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,17949
3414,Nord-Odal,34,Innlandet,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,5016
3415,Sør-Odal,34,Innlandet,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,7978
3416,Eidskog,34,Innlandet,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,6032
3417,Grue,34,Innlandet,Helse Sør-Øst,Akershus Universitetssykehus,Oslo Universitetssykehus,4548
30105,Frogner,3,Oslo,Helse Sør-Øst,Diakonhjemmet Sykehus,Oslo Universitetssykehus,59269
30106,Ullern,3,Oslo,Helse Sør-Øst,Diakonhjemmet Sykehus,Oslo Universitetssykehus,34569
30107,Vestre Aker,3,Oslo,Helse Sør-Øst,Diakonhjemmet Sykehus,Oslo Universitetssykehus,50157
5403,Alta,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,21144
5404,Vardø,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,1897
5405,Vadsø,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,5568
5406,Hammerfest,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,11274
5430,Kautokeino,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,2877
5432,Loppa,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,859
5433,Hasvik,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,964
5434,Måsøy,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,1162
5435,Nordkapp,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,2947
5436,Porsanger,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,3904
5437,Karasjok,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,2584
5438,Lebesby,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,1221
5439,Gamvik,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,1057
5440,Berlevåg,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,906
5441,Tana,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,2821
5442,Nesseby,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,854
5443,Båtsfjord,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,2165
5444,Sør-Varanger,54,Troms og Finnmark,Helse Nord,Finnmarkssykehuset,UNN Tromsø,9925
1811,Bindal,18,Nordland,Helse Midt-Norge,Helgelandssykehuset,UNN Tromsø,1406
